type,queueSize,generated,collected,elapsedInMicros,retryOnFull
LockFreeBased,256,500,500,280,0
LockFreeBased,512,500,500,131,1
LockFreeBased,512,500,500,151,0
LockFreeBased,1024,500,500,146,1
LockFreeBased,1024,500,500,152,0
LockFreeBased,2048,500,500,139,1
LockFreeBased,2048,500,500,111,0
LockFreeBased,4096,500,500,202,1
LockFreeBased,4096,500,500,216,0
LockFreeBased,8192,500,500,141,1
LockFreeBased,8192,500,500,140,0
LockFreeBased,256,1000,1000,113,1
LockFreeBased,256,1000,972,104,0
LockFreeBased,512,1000,1000,125,1
LockFreeBased,512,1000,1000,136,0
LockFreeBased,1024,1000,1000,95,1
LockFreeBased,1024,1000,1000,196,0
LockFreeBased,2048,1000,1000,119,1
LockFreeBased,2048,1000,1000,133,0
LockFreeBased,4096,1000,1000,133,1
LockFreeBased,4096,1000,1000,190,0
LockFreeBased,8192,1000,1000,135,1
LockFreeBased,8192,1000,1000,116,0
LockFreeBased,256,1500,1500,163,1
LockFreeBased,256,1500,1477,149,0
LockFreeBased,512,1500,1500,206,1
LockFreeBased,512,1500,511,146,0
LockFreeBased,1024,1500,1500,155,1
LockFreeBased,1024,1500,1500,188,0
LockFreeBased,2048,1500,1500,316,1
LockFreeBased,2048,1500,1500,294,0
LockFreeBased,4096,1500,1500,333,1
LockFreeBased,4096,1500,1500,169,0
LockFreeBased,8192,1500,1500,129,1
LockFreeBased,8192,1500,1500,239,0
LockFreeBased,256,2000,2000,195,1
LockFreeBased,256,2000,2000,239,0
LockFreeBased,512,2000,2000,169,1
LockFreeBased,512,2000,2000,136,0
LockFreeBased,1024,2000,2000,112,1
LockFreeBased,1024,2000,2000,152,0
LockFreeBased,2048,2000,2000,140,1
LockFreeBased,2048,2000,2000,114,0
LockFreeBased,4096,2000,2000,303,1
LockFreeBased,4096,2000,2000,162,0
LockFreeBased,8192,2000,2000,175,1
LockFreeBased,8192,2000,2000,100,0
LockFreeBased,256,2500,2500,152,1
LockFreeBased,256,2500,2500,150,0
LockFreeBased,512,2500,2500,207,1
LockFreeBased,512,2500,2325,148,0
LockFreeBased,1024,2500,2500,156,1
LockFreeBased,1024,2500,2500,166,0
LockFreeBased,2048,2500,2500,184,1
LockFreeBased,2048,2500,0,135,0
LockFreeBased,4096,2500,2500,157,1
LockFreeBased,4096,2500,2500,149,0
LockFreeBased,8192,2500,2500,199,1
LockFreeBased,8192,2500,2500,118,0
LockFreeBased,256,3000,3000,144,1
LockFreeBased,256,3000,3000,94,0
LockFreeBased,512,3000,3000,95,1
LockFreeBased,512,3000,2928,91,0
LockFreeBased,1024,3000,3000,100,1
