type,queueSize,generated,collected,elapsedInMicros,retryOnFull
MutexBased,1000,14000,14000,2623,1
MutexBased,1000,14000,9169,1908,0
MutexBased,1100,14000,14000,2141,1
MutexBased,1100,14000,7538,1488,0
MutexBased,1200,14000,14000,2059,1
MutexBased,1200,14000,14000,2292,0
MutexBased,1300,14000,14000,2231,1
MutexBased,1300,14000,14000,1951,0
MutexBased,1400,14000,14000,2705,1
MutexBased,1400,14000,14000,2293,0
MutexBased,1500,14000,14000,2850,1
MutexBased,1500,14000,5115,1026,0
MutexBased,1600,14000,14000,2313,1
MutexBased,1600,14000,13839,1992,0
MutexBased,1700,14000,14000,2339,1
MutexBased,1700,14000,14000,2787,0
MutexBased,1800,14000,14000,2152,1
MutexBased,1800,14000,13355,2699,0
MutexBased,1900,14000,14000,2105,1
MutexBased,1900,14000,14000,2340,0
MutexBased,2000,14000,14000,1920,1
MutexBased,2000,14000,13807,1931,0
MutexBased,100,15000,15000,2740,1
MutexBased,100,15000,8168,1595,0
MutexBased,200,15000,15000,2541,1
MutexBased,200,15000,12748,2359,0
MutexBased,300,15000,15000,2714,1
MutexBased,300,15000,12991,2295,0
MutexBased,400,15000,15000,2791,1
MutexBased,400,15000,14744,2544,0
MutexBased,500,15000,15000,2449,1
MutexBased,500,15000,13526,2080,0
MutexBased,600,15000,15000,3175,1
MutexBased,600,15000,14289,2371,0
MutexBased,700,15000,15000,2495,1
MutexBased,700,15000,14162,2387,0
MutexBased,800,15000,15000,2932,1
MutexBased,800,15000,15000,2416,0
MutexBased,900,15000,15000,2507,1
MutexBased,900,15000,8364,1758,0
MutexBased,1000,15000,15000,2394,1
MutexBased,1000,15000,15000,2347,0
MutexBased,1100,15000,15000,2482,1
MutexBased,1100,15000,14786,2080,0
MutexBased,1200,15000,15000,2298,1
MutexBased,1200,15000,14593,2699,0
MutexBased,1300,15000,15000,3080,1
MutexBased,1300,15000,13799,1802,0
MutexBased,1400,15000,15000,2124,1
MutexBased,1400,15000,15000,2352,0
MutexBased,1500,15000,15000,2289,1
MutexBased,1500,15000,14397,2239,0
MutexBased,1600,15000,15000,2348,1
MutexBased,1600,15000,11874,1704,0
MutexBased,1700,15000,15000,2569,1
MutexBased,1700,15000,14898,2314,0
MutexBased,1800,15000,15000,2317,1
MutexBased,1800,15000,13119,1959,0
MutexBased,1900,15000,15000,2447,1
MutexBased,1900,15000,11438,2265,0
MutexBased,2000,15000,15000,2113,1
MutexBased,2000,15000,7900,1423,0
MutexBased,100,16000,16000,3834,1
MutexBased,100,16000,6765,1992,0
MutexBased,200,16000,16000,2507,1
MutexBased,200,16000,10441,1594,0
MutexBased,300,16000,16000,3284,1
MutexBased,300,16000,10320,3349,0
MutexBased,400,16000,16000,2713,1
MutexBased,400,16000,14211,2176,0
MutexBased,500,16000,16000,2235,1
MutexBased,500,16000,10978,1569,0
MutexBased,600,16000,16000,3306,1
MutexBased,600,16000,13971,3014,0
MutexBased,700,16000,16000,3267,1
MutexBased,700,16000,11599,1899,0
MutexBased,800,16000,16000,2316,1
MutexBased,800,16000,15586,2527,0
MutexBased,900,16000,16000,2137,1
MutexBased,900,16000,14598,2141,0
MutexBased,1000,16000,16000,2580,1
MutexBased,1000,16000,4351,1329,0
MutexBased,1100,16000,16000,2664,1
MutexBased,1100,16000,5372,1267,0
MutexBased,1200,16000,16000,2735,1
MutexBased,1200,16000,4046,807,0
MutexBased,1300,16000,16000,2376,1
MutexBased,1300,16000,15161,2386,0
MutexBased,1400,16000,16000,2397,1
MutexBased,1400,16000,5108,1038,0
MutexBased,1500,16000,16000,3014,1
MutexBased,1500,16000,13713,2142,0
MutexBased,1600,16000,16000,3328,1
MutexBased,1600,16000,12921,2115,0
MutexBased,1700,16000,16000,2124,1
MutexBased,1700,16000,6317,1296,0
MutexBased,1800,16000,16000,3146,1
MutexBased,1800,16000,16000,2946,0
MutexBased,1900,16000,16000,2236,1
MutexBased,1900,16000,16000,2207,0
MutexBased,2000,16000,16000,2459,1
MutexBased,2000,16000,16000,2752,0
MutexBased,100,17000,17000,3030,1
MutexBased,100,17000,13836,3307,0
MutexBased,200,17000,17000,3115,1
MutexBased,200,17000,14385,2360,0
MutexBased,300,17000,17000,3089,1
MutexBased,300,17000,15086,2923,0
MutexBased,400,17000,17000,3212,1
MutexBased,400,17000,12831,2324,0
MutexBased,500,17000,17000,3329,1
MutexBased,500,17000,17000,2553,0
MutexBased,600,17000,17000,2721,1
MutexBased,600,17000,14535,2398,0
MutexBased,700,17000,17000,3566,1
